[[34m2026-04-24 01:18:13[0m] (step=0000120) Train Loss mse: 0.2201, Train Loss ce: 0.0436, Train Steps/Sec: 0.17, Tokens/Sec: 31.55k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23242, Sample Lens: [5814, 5803, 5809, 5816], ETA: 7.99h, 
[[34m2026-04-24 01:19:12[0m] (step=0000130) Train Loss mse: 0.2230, Train Loss ce: 0.0401, Train Steps/Sec: 0.17, Tokens/Sec: 31.50k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23239, Sample Lens: [5803, 5816, 5805, 5815], ETA: 7.98h, 
[[34m2026-04-24 01:20:11[0m] (step=0000140) Train Loss mse: 0.2414, Train Loss ce: 0.0362, Train Steps/Sec: 0.17, Tokens/Sec: 31.44k, MFU: 20.9%, Local Samples: 4, Global Samples: 32, Seq Len: 23229, Sample Lens: [5803, 5803, 5818, 5805], ETA: 7.98h, 
[[34m2026-04-24 01:21:10[0m] (step=0000150) Train Loss mse: 0.2490, Train Loss ce: 0.0347, Train Steps/Sec: 0.17, Tokens/Sec: 31.57k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23232, Sample Lens: [5811, 5806, 5810, 5805], ETA: 7.93h, 
[[34m2026-04-24 01:22:09[0m] (step=0000160) Train Loss mse: 0.2484, Train Loss ce: 0.0421, Train Steps/Sec: 0.17, Tokens/Sec: 31.56k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23235, Sample Lens: [5803, 5813, 5804, 5815], ETA: 7.92h, 
[[34m2026-04-24 01:23:08[0m] (step=0000170) Train Loss mse: 0.2425, Train Loss ce: 0.0332, Train Steps/Sec: 0.17, Tokens/Sec: 31.70k, MFU: 21.1%, Local Samples: 4, Global Samples: 32, Seq Len: 23225, Sample Lens: [5804, 5815, 5803, 5803], ETA: 7.87h, 
[[34m2026-04-24 01:24:06[0m] (step=0000180) Train Loss mse: 0.2434, Train Loss ce: 0.0384, Train Steps/Sec: 0.17, Tokens/Sec: 31.65k, MFU: 21.1%, Local Samples: 4, Global Samples: 32, Seq Len: 23239, Sample Lens: [5817, 5803, 5816, 5803], ETA: 7.86h, 
[[34m2026-04-24 01:25:05[0m] (step=0000190) Train Loss mse: 0.2496, Train Loss ce: 0.0410, Train Steps/Sec: 0.17, Tokens/Sec: 31.61k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23241, Sample Lens: [5815, 5808, 5815, 5803], ETA: 7.86h, 
[[34m2026-04-24 01:26:04[0m] (step=0000200) Train Loss mse: 0.2222, Train Loss ce: 0.0401, Train Steps/Sec: 0.17, Tokens/Sec: 31.44k, MFU: 20.9%, Local Samples: 4, Global Samples: 32, Seq Len: 23236, Sample Lens: [5803, 5809, 5808, 5816], ETA: 7.88h, 
[[34m2026-04-24 01:27:03[0m] (step=0000210) Train Loss mse: 0.2566, Train Loss ce: 0.0327, Train Steps/Sec: 0.17, Tokens/Sec: 31.56k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23231, Sample Lens: [5805, 5813, 5803, 5810], ETA: 7.84h, 
